Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image
SL40064-2,Black Shoulder off,Swimwear,2,6.3,15,0,, exclusive,,,,,,,,,,,,,,
SL40098,Green Leaves Bikini,Swimwear,2,6.1,15,0,, exclusive,,,,,,,,,,,,,,
SL40104,Leaft Crop Top,Swimwear,2,7.1,17,0,, exclusive,,,,,,,,,,,,,,
SL4101-2,Kimono05,Coverup,1,5.3,11,0,, exclusive,,,,,,,,,,,,,,
SL4124,Purple Cover Up,Coverup,1,5.8,11,0,, exclusive,,,,,,,,,,,,,,
SL4174,Kimono01,Coverup,1,6,11,0,, exclusive,,,,,,,,,,,,,,
SL4181,V neck white cover,Coverup,1,7.3,14,0,, exclusive,,,,,,,,,,,,,,
SL4527,Flower scaft,Accessories,1,3.2,8,0,, exclusive,,,,,,,,,,,,,,
SL4548-6-3,PureBlue 3D bikini-L,Swimwear,2,5.5,15,0,, exclusive,,,,,,,,,,,,,,
SL4552,MOMO,Swimwear,1,6.6,17,0,, exclusive,,,,,,,,,,,,,,
SL4552-2,Back Less one pcs black,Swimwear,1,3.9,15,0,, exclusive,,,,,,,,,,,,,,
SL4557,One pcs Black White 02,Swimwear,1,6.6,17,0,, exclusive,,,,,,,,,,,,,,
SL4595-34,Bad Bitch,Swimwear,1,7.5,17,0,, exclusive,,,,,,,,,,,,,,
SL4609-3-2,2pc bikini blue-L,Swimwear,2,7.1,14,0,, exclusive,,,,,,,,,,,,,,
SL4643-5,Triangle bikini Pink-L,Swimwear,2,7.25,15,0,, exclusive,,,,,,,,,,,,,,
SL4643-6-3,Triangle bikini Green-L,Swimwear,2,7.25,15,0,, exclusive,,,,,,,,,,,,,,
SL4648-1,Colour block Strapeless Bikini-S,Swimwear,2,5,15,0,, exclusive,,,,,,,,,,,,,,
SL4671,Shoulder off,Swimwear,2,5.9,16,0,, exclusive,,,,,,,,,,,,,,
SL4680,2pcs Bandage women Bikini,Swimwear,2,6.5,15,0,, exclusive,,,,,,,,,,,,,,
SL4683-8-3,2pcs printed-L,Swimwear,2,6.2,14,0,, exclusive,,,,,,,,,,,,,,
SL4687,Got Back Baby White S,Swimwear,2,5.42,15,0,, exclusive,,,,,,,,,,,,,,
SL4687-2S,Got Back Baby Black,Swimwear,2,5.4,15,0,, exclusive,,,,,,,,,,,,,,
SL4693-2,Flora Plus size L,Swimwear,2,9.98,20,0,, exclusive,,,,,,,,,,,,,,
SL4695,Moew one pcs ,Swimwear,1,5.2,15,0,, exclusive,,,,,,,,,,,,,,
SL4754,Flora Bikini,Swimwear,2,5.2,15,0,, exclusive,,,,,,,,,,,,,,
SL4760,V neck white cover,Coverup,1,6.6,12,0,, exclusive,,,,,,,,,,,,,,
SL4765,Kimono03,Coverup,1,8.5,14,0,, exclusive,,,,,,,,,,,,,,
SL4766,Kimono02,Coverup,1,6.32,12,0,, exclusive,,,,,,,,,,,,,,
SL4767-1,Beachwear Long,Coverup,1,5.82,11,0,, exclusive,,,,,,,,,,,,,,
